,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
511,45,1,30,0,2,137,558,2,1,5,41,37,10,1,14,79,8,28,8,...,0,5,63,4,45,10,2105,302,93,121,794,8,63,...,77,13,...,434,117,14343,77,1041,2039,481,1038,188,26,34,372,307,1328,960,4761,2359,2404,11,781,1888,1349,126,923,32,85,105,104,1077,1450,724,258,11314,122,57370,147546,...,162735,...,...,1047,46006,...,...,1947,...,...,...,2360,...,...,...,6766,...,425778
512,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,388,239,...,191,4,...,...,4,...,72,15,...,36,23019,47054,9,22,28,...,...,...,111,484,10,18,2465,196,66,...,3665,43,19,1991,1342,156,126,2096,2697,824,1443,329,5,967,...,90157,33546,...,41671,...,...,32,20489,...,...,...,...,...,...,...,...,...,...,...,...,185895
513,510,25,1355,237,451,1278,6815,215,326,262,929,790,167,153,466,342,177,445,1110,69,31,266,464,531,932,549,18782,2641,778,689,11357,378,148,140,4751,1543,467,3489,599,2624,647,112176,8617,10944,7360,7035,934,3066,16839,1839,5413,4024,15144,6269,15433,735,2506,6888,4589,1137,1275,492,1680,2201,6632,6370,4629,2417,502,45714,1017,371803,340144,5983,31998,...,...,...,10587,...,...,...,...,...,...,...,...,...,...,...,...,760516
514,...,0,89,8,8,1395,1211,662,651,829,2081,1459,376,249,656,951,515,681,1387,154,66,652,388,588,741,978,4404,3134,1257,943,6649,165,1,...,226,114,24,839,165,2142,238,5514,17463,9789,3651,1550,936,51,832,5696,3724,2960,18988,7637,25384,875,5187,2084,4766,404,1447,680,984,687,4222,10673,12364,3297,302,15598,2065,206889,81126,...,14230,...,...,...,7354,...,...,471,...,...,...,423,...,...,...,1454,...,311947
521CI,1334,45,2922,641,1103,7420,7931,248,943,882,1548,1447,713,341,1216,844,518,789,3420,180,120,269,365,578,1764,1290,21033,2546,2983,3550,16465,2604,4174,674,6624,12345,145,1516,941,2039,1880,5330,2252,44482,53708,12165,3001,111911,70123,21299,3925,3328,20991,14770,11483,340,2639,11029,1766,2744,1525,530,1690,1313,2481,12428,285,248,2381,5198,10071,553823,308916,...,...,...,...,...,71381,...,...,...,...,...,...,...,...,...,...,...,...,934120
523,247,21,4051,1664,3941,518,2027,48,79,1091,1643,1543,73,261,1189,778,481,719,251,15,7,38,61,125,63,114,2481,196,256,468,967,5777,924,8805,1149,2472,83,2068,42,364,448,517,159,40570,64532,7488,98886,227,6389,1140,972,453,3602,11023,2464,59,634,1714,11899,540,2361,377,142,2816,3311,18475,24,73,98,27639,2563,358691,249088,...,...,...,...,...,65060,...,...,...,...,...,...,...,...,...,...,...,...,672839
524,2242,778,10840,1928,2278,764,403,210,1099,623,879,1463,317,818,1516,2364,432,565,3466,306,236,292,106,450,2277,549,28233,2956,1233,1202,7040,250,38,441,13102,4730,234,2126,1727,463,1931,2702,1099,4885,13827,450541,8643,14957,43596,4058,3645,1136,9028,261,9044,1060,2134,7334,83962,1773,4775,1876,1956,1334,3670,5324,0,68539,355,1841,9147,865409,442670,...,...,7764,...,...,16772,...,...,...,...,...,...,...,...,...,...,...,...,1332616
525,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,8867,13716,...,...,...,...,...,...,40,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22623,175240,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,197863
HS,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2328521,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2328521
ORE,24782,79,1855,122,180,3865,22727,613,784,474,4813,1790,3581,517,1878,4017,1235,1445,4197,511,120,1174,2118,113,4296,2429,101666,18746,22441,16734,118112,308,231,366,5843,1656,117,2825,20274,4608,5500,17283,13394,39263,31265,67265,798,10163,129657,9965,24601,5007,51013,38891,22959,1789,37266,50629,47396,28192,19286,10086,15633,9422,87673,48051,4440,9026,1150,37627,3901,1282238,6288,...,...,130914,23559,...,3364,...,...,...,...,...,...,...,...,...,...,...,...,1446362
532RL,4003,151,6725,1738,2770,950,23599,270,909,932,2482,2016,482,567,2044,1739,239,1206,4484,121,111,909,684,2159,5896,955,36426,1736,1926,2712,12273,10998,4857,585,11286,3167,64,1578,1323,2478,3421,14305,8914,8833,8291,4507,28,124,3628,7337,3522,2393,18229,23936,9126,1915,2055,5309,6661,826,625,2059,2249,2370,9711,2589,388,214,519,7484,537,321653,116622,...,...,...,...,...,79102,...,...,...,...,...,...,...,...,...,...,...,...,517377
5411,307,55,3332,603,1092,3243,5831,708,486,822,3312,1580,3169,210,2038,2904,351,1482,1211,186,101,831,639,1492,3765,1383,13097,663,314,803,4236,278,524,216,458,304,152,728,238,2981,1125,5078,4286,4596,8588,24717,1184,2172,20184,673,2293,4519,13913,10090,8690,446,398,5675,16629,1300,872,1237,2245,2593,2809,3881,1053,166,855,9086,827,228304,110848,...,...,26848,...,...,16231,...,...,...,...,...,...,...,...,...,...,...,...,382231
5415,346,33,9563,320,26,1390,4780,196,259,281,1686,2842,345,100,569,1437,201,429,1094,86,33,242,553,1185,1068,461,15602,3446,756,1044,5445,147,1331,7,1327,254,8,329,363,6159,808,8118,11570,9911,9607,4189,517,315,2147,708,4621,6191,18773,22985,13683,296,1703,6214,11897,1410,1306,274,1333,724,2409,3855,23308,10981,362,19887,2592,268438,...,31961,233615,...,...,...,38906,...,18,10137,...,...,...,25011,...,...,0,11842,...,619929
5412OP,1646,418,8155,2939,4979,10756,54307,3105,3166,5120,11252,6964,7312,1929,7496,6564,2932,5900,16157,1254,640,3448,2699,5664,14718,6751,114232,22930,8399,9065,74678,1115,2599,1332,6629,2541,2033,3177,1830,15120,14080,61845,41536,60772,45857,33609,2782,1338,122416,9075,10054,25110,141119,59460,55222,3091,5444,34044,47019,9013,6470,5274,7253,10238,35137,25266,41604,6757,1660,57204,17728,1459424,79128,29657,503199,3557,...,...,153209,...,...,62505,...,...,...,83268,...,...,...,21476,...,2395423
55,...,...,17828,3871,959,29,8924,1024,2166,1671,10694,20379,18679,1701,18291,6479,722,4001,27033,1142,867,2972,1083,11146,25502,3132,91288,1969,5571,22442,27074,503,15,1112,9073,1187,8,3881,625,6436,1042,3411,1927,5279,15380,2846,419,51,2684,5386,6699,5931,25462,95,53324,3408,4138,26519,10117,4164,2488,2570,2353,21849,67365,9365,...,...,569,...,...,646320,...,...,...,...,...,...,4475,...,...,...,...,...,...,...,...,...,...,...,...,650795
561,677,48,1645,794,1184,13298,10268,747,1513,2935,8180,2640,2587,587,4059,5341,440,1649,4788,396,425,1801,3605,3885,6339,2297,75716,6890,4062,4260,35232,8872,1512,6703,16432,7707,970,8560,4944,11472,3535,28028,34928,26903,17282,10039,306,6738,137243,14775,10550,24990,63466,10114,78743,3909,4008,29333,58174,10472,4100,4988,4116,7937,14685,14908,15089,1339,2155,41624,7269,967205,74710,...,...,...,...,...,2544,...,...,...,...,...,...,...,...,...,...,...,...,1044460
562,228,8,1672,313,245,653,3024,116,265,382,439,258,63,71,250,220,123,136,1587,87,12,323,120,862,2301,349,3037,1237,542,323,2165,27,91,65,1162,160,18,466,890,121,44,309,87,843,132,1887,400,24,15371,433,134,139,1978,788,2564,10504,698,2508,3244,999,806,115,1121,1232,3153,2383,523,198,188,19757,3900,100871,28670,...,...,...,...,...,168,...,...,...,...,...,...,...,...,...,...,...,...,129709
61,15,3,...,...,...,230,10,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,103,40,...,3,2808,52,1316,...,7188,206,51,...,...,...,11,74,...,...,...,104,259,26,13,...,...,...,...,...,...,80,127,...,1360,...,4981,1,28,...,...,2049,322,...,...,4734,1719,39,151,18809,15,46924,372224,...,...,...,...,...,2421,...,...,...,...,...,...,...,...,...,...,...,...,421569
621,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,97,...,75,...,...,17474,17787,74,10,96,2,...,...,88,...,634,...,9443,...,45780,1128631,...,...,...,...,...,92,...,...,...,...,...,...,...,...,...,...,...,...,1174503
622,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3321,...,...,...,...,...,...,...,...,...,...,...,...,3321,1195573,...,...,...,...,...,2929,...,...,...,...,...,...,...,...,...,...,...,...,1201823
623,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3133,...,1145,...,4278,258728,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,263006
